DATE,All_Employees,Permit,Cement_Price,Brick_Price,Total_Construction_Employees,Em_Ratio,GDP,Home_ownership_rate,INCOME,Industrial_Cement_Concrete_Manufactured,Labour_Population,Median_Sales_Prices,Mortgage_Rate,Monthly_House_Supply,New_Housing_Under_Construction,New_Private_Housing,Personal_Saving_Rate,HOME_PRICE,Unemployment_Rate
1987-01-01,5007.0,1690.0,100.1,4.694096395182493,722.3,61.0,4722.156,63.8,3820.2,123.7373,65.4,97900.0,9.204,6.0,1090.0,1774.0,9.4,127.93,6.6
1987-02-01,5038.0,1689.0,100.8,4.694096395182493,724.2,61.1,4722.156,63.8,3845.0,123.167,65.5,97900.0,9.0825,6.2,1096.0,1784.0,8.2,128.84799999999998,6.6
1987-03-01,5039.0,1704.0,101.2,4.694096395182493,727.9,61.2,4722.156,63.8,3863.8,122.5706,65.5,97900.0,9.035,6.0,1084.0,1726.0,8.1,129.472,6.6
1987-04-01,5053.0,1601.0,100.8,4.694096395182493,728.1,61.3,4806.16,63.8,3875.4,123.5345,65.4,103400.0,9.8325,6.0,1079.0,1614.0,4.1,130.264,6.3
1987-05-01,5080.0,1500.0,101.2,4.688591794127164,727.6,61.6,4806.16,63.8,3908.6,123.8454,65.7,103400.0,10.596,6.7,1070.0,1628.0,7.8,131.126,6.3
1987-06-01,5086.0,1522.0,101.2,4.688591794127164,728.5,61.4,4806.16,63.8,3919.7,123.3012,65.5,103400.0,10.5375,6.9,1060.0,1594.0,7.3,132.142,6.2
1987-07-01,5092.0,1516.0,101.1,4.688591794127164,732.1,61.6,4884.555,64.2,3942.1,127.3025,65.6,106000.0,10.278,6.7,1051.0,1575.0,7.1,133.014,6.1
1987-08-01,5102.0,1511.0,101.1,4.688591794127164,729.2,61.8,4884.555,64.2,3978.6,122.6327,65.7,106000.0,10.33,6.8,1045.0,1605.0,6.8,133.876,6.0
1987-09-01,5096.0,1514.0,101.1,4.688591794127164,731.6,61.6,4884.555,64.2,3995.6,125.4097,65.5,106000.0,10.8875,6.8,1048.0,1695.0,7.2,134.66,5.9
1987-10-01,5142.0,1447.0,101.0,4.688591794127164,741.3,61.8,5007.994,64.1,4034.7,127.4145,65.7,111500.0,11.26,6.8,1041.0,1515.0,7.9,135.47799999999998,6.0
1987-11-01,5152.0,1457.0,100.9,4.688591794127164,742.8,61.9,5007.994,64.1,4062.1,127.2895,65.7,111500.0,10.65,7.0,1042.0,1656.0,8.2,136.214,5.8
1987-12-01,5180.0,1345.0,100.6,4.688591794127164,743.5,62.0,5007.994,64.1,4115.7,124.5768,65.7,111500.0,10.64,7.6,1018.0,1400.0,8.4,137.012,5.7
1988-01-01,5094.0,1244.0,100.7,4.688591794127164,745.0,62.0,5073.372,63.7,4128.2,111.7494,65.8,110000.0,10.3825,7.5,1008.0,1271.0,7.9,137.716,5.7
1988-02-01,5162.0,1438.0,101.5,4.688591794127164,747.0,62.1,5073.372,63.7,4153.0,119.6235,65.9,110000.0,9.8925,6.6,976.0,1473.0,8.4,138.526,5.7
1988-03-01,5201.0,1525.0,101.1,4.713127327493184,750.1,61.9,5073.372,63.7,4178.3,124.8638,65.7,110000.0,9.93,6.6,994.0,1532.0,8.0,139.28,5.7
1988-04-01,5227.0,1429.0,101.6,4.713127327493184,754.0,62.2,5190.036,63.7,4209.5,123.2387,65.8,110000.0,10.202,6.4,999.0,1573.0,8.7,139.954,5.4
1988-05-01,5228.0,1444.0,102.3,4.713127327493184,751.2,62.0,5190.036,63.7,4225.9,125.8846,65.7,110000.0,10.455,6.6,987.0,1421.0,8.3,140.852,5.6
1988-06-01,5261.0,1485.0,101.7,4.713127327493184,757.0,62.3,5190.036,63.7,4258.9,126.7927,65.8,110000.0,10.46,6.2,980.0,1478.0,8.4,141.778,5.4
1988-07-01,5270.0,1439.0,101.5,4.71492104994721,747.1,62.3,5282.835,64.0,4298.8,120.8889,65.9,115000.0,10.432,6.6,971.0,1467.0,8.6,142.708,5.4
1988-08-01,5268.0,1460.0,101.4,4.709530201312334,744.5,62.4,5282.835,64.0,4323.0,119.923,66.1,115000.0,10.5975,6.6,967.0,1493.0,8.4,143.59799999999998,5.6
1988-09-01,5270.0,1436.0,100.9,4.7140245909001735,740.5,62.4,5282.835,64.0,4352.5,121.2472,65.9,115000.0,10.48,6.5,958.0,1492.0,8.8,144.48,5.4
1988-10-01,5262.0,1516.0,100.7,4.7140245909001735,732.8,62.5,5399.509,63.8,4391.1,120.9774,66.0,113900.0,10.3025,6.0,953.0,1522.0,8.6,145.27,5.4
1988-11-01,5273.0,1508.0,100.6,4.716711560720999,731.7,62.7,5399.509,63.8,4402.5,121.3659,66.2,113900.0,10.265,7.2,960.0,1569.0,8.4,146.142,5.3
1988-12-01,5277.0,1501.0,100.6,4.716711560720999,730.4,62.6,5399.509,63.8,4438.6,127.0205,66.1,113900.0,10.612,6.8,955.0,1563.0,8.3,146.93200000000002,5.3
1989-01-01,5289.0,1466.0,100.7,4.716711560720999,734.9,62.9,5511.253,63.9,4501.5,132.6783,66.5,118000.0,10.73,6.2,955.0,1621.0,8.5,147.892,5.4
1989-02-01,5278.0,1383.0,100.2,4.730921391293652,721.9,62.9,5511.253,63.9,4529.6,114.8575,66.3,118000.0,10.645,7.5,947.0,1425.0,8.9,148.764,5.2
1989-03-01,5260.0,1214.0,100.2,4.73707525686803,707.1,62.9,5511.253,63.9,4570.2,115.9009,66.3,118000.0,11.032,8.2,940.0,1422.0,9.4,149.556,5.0
1989-04-01,5295.0,1376.0,101.2,4.805659046737495,707.9,62.9,5612.463,63.8,4582.5,119.4545,66.4,118900.0,11.05,7.4,922.0,1339.0,8.3,150.172,5.2
1989-05-01,5299.0,1381.0,101.2,4.805659046737495,709.3,62.9,5612.463,63.8,4579.4,118.1679,66.3,118900.0,10.7725,7.1,913.0,1331.0,8.0,150.612,5.2
1989-06-01,5298.0,1322.0,101.2,4.805659046737495,706.6,63.0,5612.463,63.8,4602.2,117.488,66.5,118900.0,10.196,7.2,913.0,1397.0,8.1,150.958,5.3
1989-07-01,5317.0,1283.0,101.2,4.805659046737495,708.9,63.0,5695.365,64.1,4628.5,117.972,66.5,120000.0,9.8825,6.1,918.0,1427.0,8.1,151.314,5.2
